school_ID,state,dist,abbr_state,state_code,LEAID,year,children,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian,pct_PI,student_total
09060,Washington,Trout Lake School District,WA,53,NA,NA,128,NA,0.23529411852359772,0.2786885201931,0.09582309424877168,0.00586510263383388,0.14364640414714813,0.078125,0,NA,NA,NA,NA,NA,NA,NA
09100,Washington,Tumwater School District,WA,53,5309100,2014-2018,6074,80.97735573411249,0.06978174299001694,0.2993004322052002,0.25575244426727295,0.01386310160160064,0.04998092353343963,0.03589067980647087,0.00197563390247523,8.8,73.8,2.5,0.2,2.3,0,6845
09150,Washington,Union Gap School District,WA,53,5309150,2014-2018,894,NA,0.2654600441455841,0.5194109678268433,0.48260870575904846,0.0909886285662651,0.1900532841682434,0.09172259271144868,0.1085011214017868,75.8,19.1,0,2.8,2.2,0,NA
09180,Washington,University Place School District,WA,53,5309180,2014-2018,5385,88.94037199124726,0.10014646500349043,0.4063412547111511,0.28227147459983826,0.01428571436554193,0.04819114506244659,0.07130919396877289,0.0252553392201662,9.4,53.9,6.6,0.2,8.6,1.1,5484
09240,Washington,Valley School District,WA,53,5309240,2014-2018,252,71.03333333333333,0.1304347813129425,0.12558139860630035,0.1446700543165207,0.0657370537519455,0.1726384311914444,0.0714285746216774,0,0,84.4,6.7,0,1.8,0,90
09270,Washington,Vancouver Public Schools,WA,53,5309270,2014-2018,25343,80.1050396000177,0.12345828115940094,0.3030169606208801,0.29249483346939087,0.03068214654922485,0.05686893686652183,0.05942469462752342,0.05985873937606811,21.7,62.6,1.7,0.6,3,1.4,22601
09300,Washington,Vashon Island School District,WA,53,5309300,2014-2018,1470,89.66888217522659,0.06407447904348373,0.29832571744918823,0.22576257586479187,0.01555209979414939,0.04988532140851021,0.04081632569432258,0,10.6,84.3,0.9,0,2.6,0,1655
09330,Washington,Wahkiakum School District,WA,53,5309330,2014-2018,420,81.94022988505748,0.13565891981124878,0.20000000298023224,0.23643054068088531,0.00797101482748985,0.15819208323955536,0.0595238097012043,0,20,64,12,2.7,0,0,435
09360,Washington,Wahluke School District,WA,53,5309360,2014-2018,2961,73.7250608272506,0.16472114622592926,0.4055117964744568,0.06234598159790039,0.2412469983100891,0.2576620578765869,0.01418439671397209,0.23167848587036133,90.4,9.6,0,0,0,0,2466
09390,Washington,Waitsburg School District,WA,53,5309390,2014-2018,220,87.1626984126984,0.18305084109306335,0.2791878283023834,0.21292217075824735,0.0272000003606081,0.06766917556524277,0.05000000074505806,0,11.6,69.8,0,0,0,0,252
09450,Washington,Walla Walla Public Schools,WA,53,5309450,2014-2018,5744,80.25237137108364,0.13512587547302246,0.34986594319343567,0.25034940242767334,0.01497131679207086,0.1236489936709404,0.06841921806335449,0.04387186467647552,41.6,51.3,1.1,0.4,0.9,0,6958
09480,Washington,Wapato School District,WA,53,5309480,2014-2018,3177,80.7566168009206,0.23937676846981049,0.3854948282241822,0.24461759626865387,0.1354195475578308,0.1971350610256195,0.04091910645365715,0.06421151757240295,65.3,5,0,23.4,2.8,0,3476
09510,Washington,Warden School District,WA,53,5309510,2014-2018,825,80.43705035971223,0.21395349502563477,0.39920949935913086,0.16955018043518066,0.06045751646161079,0.25401070713996887,0.03272727131843567,0.15757575631141665,74.6,21.1,0,0,1.1,0,1112
09540,Washington,Washougal School District,WA,53,5309540,2014-2018,3673,80.04542302357837,0.08258380740880966,0.23109936714172363,0.2745240032672882,0.02053171955049038,0.03942288085818291,0.05091205984354019,0.01687993481755256,11.5,77.8,4,0,0.6,0,2884
09570,Washington,Washtucna School District,WA,53,NA,NA,69,NA,0.14000000059604645,0.24137930572032928,0.0859375,0.0181818176060915,0.04301075264811516,0.04347826167941093,0,NA,NA,NA,NA,NA,NA,NA
09600,Washington,Waterville School District,WA,53,5309600,2014-2018,291,82.65181058495823,0.06397306174039841,0.25217390060424805,0.2680628299713135,0.01794258318841457,0.1355140209197998,0.01718213036656379,0,13.6,79.5,0,0,0,0,359
09630,Washington,Wellpinit School District,WA,53,5309630,2014-2018,256,77.67509025270758,0.2687224745750427,0.8597561120986938,0.14067278802394867,0.02147971279919147,0.2543352544307709,0.05078125,0,7.8,15.7,0,74.5,0,0,277
09660,Washington,Wenatchee School District,WA,53,5309660,2014-2018,8103,77.12366737739873,0.14809714257717133,0.2716204822063446,0.2884397506713867,0.03487877547740936,0.19958940148353577,0.06960385292768478,0.04516845569014549,47.4,47.9,0.4,0,1.2,0,8442
