leaid,grad_rate_midpt
0200360,75
0200390,81.98974114278897
0200450,71.03333333333333
0200480,87.50356012658227
0200485,82.0204081632653
0200510,79.34361842896668
0200520,55.83189655172414
0200525,82.64835164835165
0200540,35.18123772102161
0200570,73.17383820998279
0200600,73.09852523098792
0200610,67.7159090909091
0200625,73.67058247674989
0200660,90.04683840749415
0200670,75
0200680,74.50515463917526
0200690,75
0200700,79.8529411764706
0200710,60.43759873617693
0200720,87.66773162939296
0200730,75
0200760,65.26384364820846
0200770,61.483050847457626
0200775,65.50769230769231
0200780,77.77474402730375
0200800,71.95845697329376
0200810,79.1375
0200840,75
0200862,48.11568938193344
0400001,92.55798355690177
0400003,88.35454164922561
0400016,82.97393689986282
0400019,89.673828125
0400021,65.4159090909091
0400022,75
0400023,70.55511420059582
0400026,86.51582278481013
0400036,87.96699669966996
0400041,94.38775510204081
0400043,85.48434237995825
0400047,44.48774509803921
0400052,93.00952380952381
0400053,78.17919670442842
0400056,93.08264462809917
0400057,20.413846153846155
0400061,15.434925864909392
0400065,95.76644736842105
0400067,75
0400070,93.06981519507187
0400074,92.68431568431568
0400077,23.92702702702703
0400078,38.64070536370316
0400079,20.930597465298735
0400081,76.81208053691275
0400082,81.44819751590427
0400083,28.61654278635411
0400094,34.037125748502994
0400095,47.08152173913043
0400097,94.77333333333333
0400099,54.461794019933556
0400103,22.90437030075188
0400104,75
0400106,90.18255813953488
0400107,43.4642753832803
0400108,54.36681659170415
0400112,85.82335329341318
0400121,79.68741159830269
0400124,32.646449704142015
0400125,73.77108433734941
0400129,75
0400130,81.91304347826087
0400133,76.38970588235294
0400144,77.20132013201321
0400147,53.51572327044025
0400149,48.35
0400153,58.57142857142857
0400154,79.23121387283237
0400157,27.35664605873261
0400159,12.832663989290495
0400160,75
0400161,53.56470588235294
0400163,56.742180094786725
0400192,75
0400197,4.886524822695035
0400201,30.386061946902654
0400202,90.2870090634441
0400204,34.29519331243469
0400207,30
0400209,85.93632958801498
0400211,93.6938775510204
0400212,86.49845679012346
0400216,40.7488986784141
0400219,24.778746594005447
0400223,64.77575757575758
0400225,94.9579831932773
0400231,89.42460317460318
0400235,24
0400238,91.26262626262627
0400241,81.39489953632149
0400243,82.32552083333334
0400244,79.4848
0400246,82.36607142857143
0400248,85.42105263157895
0400254,28.16521739130435
0400259,86.50632911392405
0400261,16.989764973464744
0400266,37.42898550724638
0400267,21.5
0400273,25.158902214022138
0400274,30.135593220338983
0400276,36.48622589531681
0400278,81.83168316831683
0400280,92.1277213352685
0400281,6.25
0400282,93.12213740458016
0400284,44.018691588785046
0400288,73.5593542260209
0400290,87.57281553398059
0400295,72.38709677419355
0400303,29.629223343571745
0400311,36.70253020287212
0400312,8.131868131868131
0400313,30
0400315,20.734966592427618
0400316,24
0400321,64.34254143646409
0400322,18.259498787388843
0400326,89.78056426332287
0400327,95.44452296819787
0400329,19.025774846311474
0400330,31.81271596406358
0400332,40.0920245398773
0400341,24
0400344,36.4054054054054
0400345,16.708333333333336
0400347,15.185185185185187
0400348,16.08695652173913
0400349,24
0400352,29.196447793326158
0400353,30.69505247376312
0400354,31.425887978142075
0400355,38.49822625147812
0400356,52.781395348837215
0400357,38.226768968456945
0400363,15.594488188976376
0400364,12.4889896373057
0400366,75
0400367,52.47229551451187
0400373,87.74475524475524
0400381,55.507936507936506
0400382,42.06597222222222
0400383,17.089318600368323
0400384,35.94978723404255
0400385,32.574950033311126
0400386,24.896238651102465
0400387,17.627906976744185
0400388,40.684306569343065
0400389,23.258595464520848
0400391,24
0400394,42.00347222222222
0400395,87.17447495961228
0400398,26
0400401,24
0400402,73.54883720930232
0400405,60.306306306306304
0400407,88.4882226980728
0400414,64.90260869565218
0400416,24.4367816091954
0400417,94.39028944911297
0400419,49.89473684210526
0400420,54.57575757575758
0400423,49.24710830704522
0400426,90.64896755162242
0400427,43.85183507023108
0400429,75
0400432,33.07693377851976
0400440,93.16005121638925
0400444,65.78313253012048
0400447,94.62489343563512
0400450,89.60792034396923
0400463,65.20950965824666
0400480,77.48717948717949
0400520,88.47147147147147
0400608,94.77568740955138
0400610,86.06349206349206
0400612,2
0400614,80.8715953307393
0400615,6.115702479338843
0400618,42.842408943382615
0400619,84.34763406940063
0400620,24
0400621,27.210022779043282
0400625,63.92592592592592
0400626,28.778846153846153
0400632,70.23235294117647
0400633,17.656266525647805
0400636,21.117587601078167
0400640,75
0400650,75
0400653,91.98148148148148
0400655,93.89759036144578
0400656,43.47785977859778
0400680,82.07582758881904
