leaid,student_total,grad_rate_midpt
0400322,1237,18.259498787388843
0400326,319,89.78056426332287
0400327,1415,95.44452296819787
0400329,31232,19.025774846311474
0400330,1447,31.81271596406358
0400332,326,40.0920245398773
0400341,6,24
0400344,37,36.4054054054054
0400345,48,16.708333333333336
0400347,27,15.185185185185187
0400348,46,16.08695652173913
0400349,19,24
0400352,1858,29.196447793326158
0400353,3335,30.69505247376312
0400354,2928,31.425887978142075
0400355,2537,38.49822625147812
0400356,645,52.781395348837215
0400357,1173,38.226768968456945
0400363,508,15.594488188976376
0400364,1544,12.4889896373057
0400366,106,75
0400367,1137,52.47229551451187
0400373,286,87.74475524475524
0400381,252,55.507936507936506
0400382,576,42.06597222222222
0400383,1086,17.089318600368323
0400384,1175,35.94978723404255
0400385,1501,32.574950033311126
0400386,2313,24.896238651102465
0400387,430,17.627906976744185
0400388,1096,40.684306569343065
0400389,2734,23.258595464520848
0400391,176,24
0400394,288,42.00347222222222
0400395,619,87.17447495961228
0400398,48,26
0400401,7,24
0400402,430,73.54883720930232
0400405,666,60.306306306306304
0400407,467,88.4882226980728
0400414,575,64.90260869565218
0400416,261,24.4367816091954
0400417,1071,94.39028944911297
0400419,152,49.89473684210526
0400420,132,54.57575757575758
0400423,951,49.24710830704522
0400426,339,90.64896755162242
0400427,2207,43.85183507023108
0400429,77,75
0400432,7188,33.07693377851976
0400440,781,93.16005121638925
0400444,83,65.78313253012048
0400447,1173,94.62489343563512
0400450,22095,89.60792034396923
0400463,673,65.20950965824666
0400480,117,77.48717948717949
0400520,333,88.47147147147147
0400608,691,94.77568740955138
0400610,315,86.06349206349206
0400612,122,2
0400614,257,80.8715953307393
0400615,242,6.115702479338843
0400618,2773,42.842408943382615
0400619,1585,84.34763406940063
0400620,24,24
0400621,2195,27.210022779043282
0400625,162,63.92592592592592
0400626,104,28.778846153846153
0400632,340,70.23235294117647
0400633,1891,17.656266525647805
0400636,2968,21.117587601078167
0400640,36,75
0400650,46,75
0400653,540,91.98148148148148
0400655,664,93.89759036144578
0400656,542,43.47785977859778
0400680,13201,82.07582758881904
0400720,900,77.88888888888889
0400746,159,87.23270440251574
0400747,648,93.89969135802468
0400752,367,3.55858310626703
0400757,417,91.6378896882494
0400760,422,93.51895734597157
0400769,491,89.16904276985743
