dist,children,predom_race,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian
Gadsden City School District,5142,Black,82.00348364621638,35.235,51.718,31.022,1.451,22.98,9.199,3.112,16.1,35.6,44.8,0,0.3
Geneva City School District,1167,White,91.85429141716568,31.814,69.201,22.197,0.534,20.354,19.537,2.228,0,80.5,16.7,0,2.3
Geneva County School District,3244,White,90.04214711729622,24.859,38.286,27.454,2.393,20.766,5.425,0,7.6,78.1,8.5,0.1,0.1
Greene County School District,1372,Black,82.16488046166529,42.296,79.361,15.064,3.113,34.211,5.321,0,0,4.4,91.1,2.2,0
Guntersville City School District,1247,White,92.06686390532543,23.175,41.491,24.984,0.885,9.032,2.486,5.774,6.6,71.9,15.4,0,1.3
Hale County School District,2510,Black,89.11754684838161,33.706,63.005,25.025,3.217,32.95,5.936,0,1.7,25.8,71.6,0,0
Haleyville City School District,1451,White,88.443857331572,28.315,32.682,28.505,0.535,20.817,12.612,8.339,9.1,90.9,0,0,0
Hartselle City School District,2346,White,93.62755692782709,12.189,23.801,29.175,0.49,7.653,6.138,3.538,1,88,7.1,0,2.5
Henry County School District,2639,White,92.6696619597775,23.936,24.859,30.882,0.78,14.81,4.433,0.417,4,62.7,29.6,0,0
Homewood City School District,4298,White,92.25460020073604,7.759,21.913,26.14,0.797,3.845,3.513,6.026,7,73.9,12.4,0,4.5
Houston County School District,6581,White,92.29368029739776,18.64,35.099,31.745,1.872,27.433,5.197,0.821,4.7,75,16.7,0.2,0.2
Huntsville City School District,28450,White,86.60659832440027,20.386,39.898,26.672,1.398,12.898,5.719,3.1,11.1,43.2,39.3,0.6,0.9
Jackson County School District,6153,White,88.75339233038348,22.642,36.162,23.023,2.067,19.724,3.998,0.098,5.2,86,3.2,1.4,0.2
Jacksonville City School District,1379,White,88.19641465315667,23.194,54.798,38.766,0.348,5.67,10.08,0,4.5,53,36.8,0,3.6
Jasper City School District,2317,White,88.58816067653277,24.367,37.342,30.814,1.667,19.848,10.401,3.927,8.3,67.2,16.6,0,3.5
Jefferson County School District,39115,Black,89.61456291920837,17.466,40.284,28.022,1.405,16.209,6.862,1.166,6.3,44.3,45.5,0.3,0.6
Lamar County School District,2366,White,88.19578017664378,22.678,25.645,20.607,1.674,22.349,13.145,0,3.6,79.2,12.7,0,0
Lanett City School District,829,Black,81.66586248492159,43.194,59.97,24.675,5.61,6.857,1.086,0,0,21.2,74.7,0,0
Lauderdale County School District,8444,White,91.53886554621847,12.579,27.865,27.441,1.317,21.461,5.495,0,2.2,90.5,3.8,0.6,1
Lawrence County School District,5377,White,88.80504908835904,32.686,31.458,22.263,1.522,27.074,6.305,0,2.7,71.8,10.5,6.4,0.4
Lee County School District,10736,White,85.54330624465355,20.621,37.484,25.643,2.295,14.283,5.095,0.326,6.1,63.7,25.9,0,0.6
