school_ID,state,dist,abbr_state,state_code,LEAID,year,children,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian,pct_PI,student_total,rev_total_avg,rev_per_cap
03210,Colorado,Crowley County School District RE-1-J,CO,08,0803210,2014-2018,499,87.80504587155964,0.2361111044883728,0.2634989321231842,0.29474306106567383,0.02044444531202316,0.08444444090127945,0.08617234230041504,0,34.8,60.9,0,1.4,0,0,436,4883500,9786.573146292585
03240,Colorado,De Beque School District 49-JT,CO,08,0803240,2014-2018,178,81.52941176470588,0.11486486345529556,0.158273383975029,0.2192513346672058,0.052173912525177,0.03448275849223137,0,0,5.4,91.9,0,0,0,0,85,4919250,27636.23595505618
03300,Colorado,Del Norte School District C-7,CO,08,0803300,2014-2018,503,85.46059113300493,0.16034482419490814,0.12931033968925476,0.33197277784347534,0.01855176500976085,0.07467532157897949,0.04572564736008644,0,39.3,56.2,0,0,0.9,0,406,6530250,12982.604373757455
03330,Colorado,Delta County School District 50J,CO,08,0803330,2014-2018,4782,82.89044561198676,0.2086057811975479,0.24250295758247375,0.2861386239528656,0.02473614737391472,0.19176994264125824,0.03074027597904205,0.02593057230114937,26,69.6,0.1,2.7,0.6,0,5139,51102750,10686.480552070263
03360,Colorado,Denver County School District 1,CO,08,0803360,2014-2018,96196,65.03604116487848,0.16450698673725128,0.3827552199363709,0.27548491954803467,0.03223965317010879,0.13806724548339844,0.04247577860951423,0.07969146221876144,53.7,26.2,11.3,0.4,3.8,0.3,91340,1307963000,13596.854339057758
03390,Colorado,Dolores School District RE-4A,CO,08,0803390,2014-2018,622,81.19444444444444,0.13358069956302643,0.2513369023799896,0.31670984625816345,0.00945775490254163,0.2593896687030792,0.0884244367480278,0,20.6,72.2,0,7.2,0,0,540,8412750,13525.32154340836
03420,Colorado,Dolores County School District RE-2,CO,08,0803420,2014-2018,273,79.35483870967741,0.13802817463874817,0.4714829027652741,0.34375,0.02508960664272308,0.2808988690376282,0.06227106228470802,0,22.4,65.3,0,0,0,0,186,4380750,16046.703296703297
03450,Colorado,Douglas County School District RE-1,CO,08,0803450,2014-2018,70007,88.31767002805368,0.02127199247479438,0.16410256922245026,0.2603842616081238,0.01114243734627962,0.01581866852939129,0.02812575921416282,0.00538517581298947,10.5,79.5,1.2,0.2,3.6,0,52756,690313500,9860.635365034925
03480,Colorado,Durango School District 9-R,CO,08,0803480,2014-2018,5208,75.2044420658282,0.103248693048954,0.2299385964870453,0.3358621895313263,0.01753842271864414,0.14701783657073977,0.0391705073416233,0,15.6,75.2,0.6,4.4,0.4,0.1,3737,60060000,11532.258064516129
03510,Colorado,Eads School District RE-1,CO,08,0803510,2014-2018,209,76.80451127819549,0.20143884420394895,0.3045977056026459,0.2522202432155609,0.0041493778117001,0.10542168468236925,0.02870813384652137,0,8.5,83,0,0,0,0,133,2527750,12094.497607655503
03540,Colorado,Eagle County School District RE 50,CO,08,0803540,2014-2018,7627,74.39262318427798,0.06925583630800247,0.24741783738136292,0.4551396667957306,0.04661685228347778,0.13824178278446198,0.01783138886094093,0.08561688661575317,44.2,50.8,1.2,0,1.2,0,7022,97816750,12825.062278746558
03600,Colorado,Eaton School District RE-2,CO,08,0803600,2014-2018,1483,94.18736988202636,0.06890960782766342,0.17686566710472107,0.2244274765253067,0.02460510283708572,0.09785522520542143,0.01820633932948112,0.04720161855220795,26.8,70.6,0.3,0.3,0,0,1441,19031500,12833.108563722184
03720,Colorado,Elizabeth School District,CO,08,0803720,2014-2018,2834,82.60724365004704,0.05495300143957138,0.19372384250164032,0.25115638971328735,0.01062243711203336,0.01924149505794048,0.03705010563135147,0,10.1,83.2,0,0,0.6,0,2126,24194250,8537.138320395201
03750,Colorado,Ellicott School District 22,CO,08,0803750,2014-2018,959,84.33454106280193,0.15531061589717865,0.187088280916214,0.2587859332561493,0.01060859858989715,0.13633067905902865,0.11470281332731248,0.05422315001487732,16.1,73.9,0,0,0,0,828,10259000,10697.601668404588
03780,Colorado,Englewood School District 1,CO,08,0803780,2014-2018,2897,49.89240991566573,0.17882736027240753,0.377036452293396,0.28418028354644775,0.02161069586873054,0.08270173519849777,0.03037625178694725,0.02588885091245174,36.8,54.2,4.3,0.3,0,0,3913,42646500,14720.91819123231
03810,Colorado,Estes Park School District R-3,CO,08,0803810,2014-2018,1001,90.08745247148288,0.17424772679805756,0.29567307233810425,0.35527485609054565,0.01712570711970329,0,0.04395604506134987,0,5.1,84.7,2.8,0,4,0,1052,14404500,14390.10989010989
03840,Colorado,Park County School District RE-2,CO,08,0803840,2014-2018,925,81.9159891598916,0.14210526645183563,0.12820513546466827,0.3876221477985382,0.0053493813611567,0.11600338667631148,0,0,6.1,91.4,0,0,0,0,369,9517000,10288.648648648648
