leaid,state,region,dist,children,pct_pov,pct_SP,SP_MOE,pct_HHVJ,HHVJ_MOE,pct_CC,CC_MOE,pct_NCI,nci_MOE,pct_CD,CD_MOE,pct_CLI,CLI_MOE
4208790,Pennsylvania,Northeast,Eastern York School District,3106,10.353697836399078,32.48017430305481,8.5,26.696252822875977,3,1.339066307991743,1,6.646216660737991,3.5,7.244043797254562,3,0.4185447469353676,1
4208820,Pennsylvania,Northeast,Eastern Lancaster County School District,6131,7.786377519369125,8.224034309387207,4,30.231568217277527,3,2.2198542952537537,1,34.472158551216125,7.5,4.681128636002541,1.5,11.352144926786423,5
4208850,Pennsylvania,Northeast,Easton Area School District,10007,15.071283280849457,30.44193685054779,4.5,27.98387110233307,2,0.7703839335590601,0.5,9.731907397508621,2.5,4.856600239872932,2,2.7180973440408707,1.5
4209090,Pennsylvania,Northeast,Elizabeth Forward School District,2535,10.641689598560333,28.9707750082016,8,24.968887865543365,3,0.35160828847438097,0.5,5.456893891096115,3.5,8.402366936206818,4.5,0,0.5
4209120,Pennsylvania,Northeast,Elizabethtown Area School District,4744,5.151888355612755,22.979985177516937,6,23.4804168343544,2.5,1.1828700080513954,1,6.6420093178749084,3.5,9.485666453838348,3.5,1.4544688165187836,2
4209150,Pennsylvania,Northeast,Elk Lake School District,1290,14.190317690372467,37.95493841171265,9,24.88832175731659,3,1.4435695484280586,1.5,10.870946943759918,7,5.658914893865585,2,0.1550387591123581,1
4209240,Pennsylvania,Northeast,Ellwood City Area School District,1790,17.126789689064026,40.310078859329224,8,30.64468204975128,3.5,1.0157274082303047,1,7.975679636001587,4,8.324022591114044,3.5,0,1
4209270,Pennsylvania,Northeast,Ephrata Area School District,6129,7.814761251211166,22.77676910161972,4.5,30.533045530319214,2.5,1.219965796917677,0.5,20.172272622585297,5.5,7.130037248134613,2,5.090552940964699,3.5
4209300,Pennsylvania,Northeast,Erie City School District,15953,32.991182804107666,54.703110456466675,3.5,32.90916383266449,2,2.0307600498199463,0.5,15.59053659439087,2.5,11.83476448059082,2,3.3974800258874893,1.5
4209360,Pennsylvania,Northeast,Everett Area School District,1513,14.837712049484253,19.724437594413757,6.5,33.27578902244568,4,0.9024818427860737,1,7.739307731389999,3.5,10.641110688447952,8.5,0,1
4209480,Pennsylvania,Northeast,Exeter Township School District,4757,5.9355925768613815,28.127160668373108,7,27.706333994865417,2.5,0.36661026533693075,0.5,1.6492487862706184,1.5,5.2764348685741425,2,1.5135589987039566,1.5
4209540,Pennsylvania,Northeast,Fairfield Area School District,1170,5.959752202033997,15.324927866458893,5.5,25.71704089641571,3.5,0.9082063101232052,1,3.1156381592154503,2,4.700854793190956,2.5,0,1.5
4209570,Pennsylvania,Northeast,Fairview School District,1847,7.572115212678909,18.734939396381378,15.5,17.148488759994507,3.5,0,0.5,1.4314928092062473,2,11.857065558433533,8.5,0,1
4209600,Pennsylvania,Northeast,Karns City Area School District,1462,10.849673300981522,27.24616527557373,6,26.544201374053955,2.5,0.6755066104233265,0.5,5.7711441069841385,2.5,5.335157364606857,2,0,1
4209660,Pennsylvania,Northeast,Fannett-Metal School District,751,27.71226465702057,21.470588445663452,12.5,20.16574591398239,4,3.526598960161209,1.5,45.95122039318085,18,5.4593876004219055,3.5,5.3262315690517426,5.5
4209690,Pennsylvania,Northeast,Farrell Area School District,1114,43.896424770355225,78.6592185497284,12.5,38.9737993478775,8,1.7543859779834747,2,7.421576231718063,5.5,15.709155797958374,7.5,0,1.5
